iid,name,cat_id
15440,蓝月亮 亮白增艳洗衣液1kg袋装 薰衣草香 护衣护色护肤,473
15441,蓝月亮手洗专用洗衣液1kg袋装 风清白兰 手洗新体验,473
15442,蓝月亮 薰衣草手洗专用洗衣液1000 立袋 去油斑不留痕,473
15443,蓝月亮 芦荟抑菌洗手液500ml,361
15451,优选 郁金香系列三层无芯卫生纸70g 10粒装/提,490
15479,胜亮SL-5缤纷组合果盘五格装,508
15740,伊利金领冠儿童配方奶粉4段3-6岁900g/罐,383
15903,强生 婴儿天然舒润滋养润肤霜   40g/盒,455
15967,Ferrero Rocher费列罗 榛果威化意大利进口巧克力（3粒装） 37.5g,129
16012,加多宝   凉茶   310ml*24罐,208
16014,银鹭  好粥道（薏仁红豆粥）280g,213
16019,椰树  椰子汁  1L/盒,226
16042,竹盐 精品全优护原味牙膏120g,365
16044,竹盐 清新源牙膏150g 绿茶精华 清韵茶香,365
16099,伊利 金典有机奶250ml*12,216
16143,可口可乐  碳酸饮料汽水  1.25L,211
16167,好丽友Q蒂摩卡巧克力蛋糕168g,169
16171,好丽友香焗番茄薯愿104g,191
16183,心相印 三层卷筒卫生纸BT2712 蓝色 140g 12粒装,490
16578,青蛙王子  儿童芦荟滋润霜   50g,455
16775,青蛙王子 儿童补水草莓香型润唇膏   4g,455
16885,伊利 QQ星儿童成长牛奶全聪型190ml*15,218
16887,伊利 儿童成长牛奶健护型190ml*15,218
16888,伊利  QQ星儿童成长牛奶全聪型  125ml*20,218
16889,伊利 QQ星儿童成长牛奶健固型125ml*20,218
16890,伊利  QQ星儿童成长牛奶健护型125ml*20,218
17510,心相印 优选郁金香系列三层无芯卫生纸10粒装 75g 自然洁净,490
17713,心相印 柔肤系列BT1610 三层卷筒卫生纸巾180g 10卷/提*5,490
17750,舒肤佳 蜂蜜润护香皂115g*3,359
17878,Peskoe半球 SH-18－20B 电水壶 1.8L容量,584
18058,【云猴生鲜】思念 中华面点秘制豆沙包（10只）360g,100810003
18067,【云猴生鲜】思念 金牌灌汤猪肉韭菜水饺（58只）702g,100810005
18069,【云猴生鲜】思念 原味手抓饼（5片装）450g,100810003
18070,【云猴生鲜】思念 葱香味手抓饼（5片装）450g,100810003
18085,【云猴生鲜】思念 上海风味大馅馄饨三鲜(40只)500g   附赠大汤料包2袋,100810003
18092,【云猴生鲜】思念 金牌灌汤猪肉白菜水饺（58只）702g,100810005
18093,【云猴生鲜】思念 金牌灌汤三鲜水饺（58只）702g,100810005
18183,【云猴生鲜】几百粒 简装薏仁米350g,288
18187,几百粒 简装夏威夷果（奶油味）200g,811
19090,威尼N95防雾霾口罩,501
19324,【驱蚊系列】超威 水基杀虫气雾剂无香500ml,96870017
19943,李锦记薄盐生抽500ml  ,274
20640,测试商品（请勿购买，不予发货）1,121
20690,安怡 金装成人高钙低脂配方奶粉800g,249
20846,海信（Hisense） LED32K20JD  32英寸  高清  液晶网络电视,574
24386,Nutrilon诺优能 幼儿配方奶粉3段 适合12-24个月幼儿800g/罐【保质期到2016.05.28】,380
24616,Kjeldsens 蓝罐曲奇饼干 125g,127
24622,张君雅 台湾进口草莓甜甜圈 40g,134
24775,方广 核桃黑芝麻营养米粉  250g,387
24798,奶粉赠品毛巾（两条装）（颜色随机发）,800
24994,金龙鱼盘锦生态稻10kg,286
25219,狮王 细齿洁弹力护龈超细毛牙刷三支特惠装,367
25614,金龙鱼家常系列鸡蛋麦芯挂面1000g,292
25615,金龙鱼1000g家常系列龙须麦芯挂面,292
25748,清风B00B长条包卫生纸  140g×10卷,490
25749,清风绿茶茉香2层120抽3盒装盒面,489
25751,清风 B20AT6X 超质感系列卷筒卫生纸160g*10卷/提,490
25753,马蹄莲3层83克12卷平纹中卷无芯卷纸,490
25755,清风原木纯品3层140g12卷卷筒卫生纸,490
